 Morbidade Hospitalar do SUS - por local de internação - Brasil
Óbitos por Região/Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
".. Piauí";-;-;1;1;1;1;-;1;1;2;5;1;1;1;-;-;1;1;-;-;-;-;-;-;1;3;1;1;-;4;3;-;-;-;3;-;1;-;-;-;1;-;-;2;1;1;3;1;2;1;1;1;1;-;-;2;2;-;-;1;-;-;-;1;-;1;-;1;-;-;-;2;1;-;2;-;-;-;-;3;-;-;-;-;-;1;-;-;-;2;1;1;1;-;1;1;2;-;-;1;1;1;2;2;1;-;2;-;-;3;-;3;-;-;-;1;3;-;2;-;2;3;-;-;-;1;-;1;1;3;1;1;2;-;1;1;1;2;-;1;-;1;3;3;1;3;2;-;-;1;1;2;-;1;-;2;-;1;-;4;144
".. Ceará";-;6;6;4;6;8;3;6;1;4;-;5;4;5;9;3;4;4;6;4;6;6;2;2;9;3;6;5;9;5;4;9;5;5;5;3;-;2;3;3;3;4;3;-;5;3;6;5;4;5;6;8;6;10;4;5;2;4;5;4;6;4;6;5;5;3;4;4;5;4;7;3;2;3;3;2;2;5;4;4;4;7;3;5;5;3;6;3;5;3;6;2;1;4;2;3;5;3;2;3;3;4;7;2;4;5;2;2;4;3;4;2;2;3;3;2;4;7;7;4;7;4;5;3;3;3;2;5;4;3;6;1;2;7;2;3;-;4;5;2;5;2;1;4;4;1;6;-;3;2;4;3;1;6;2;2;3;1;-;4;627
".. Rio Grande do Norte";6;1;4;2;2;3;-;2;3;-;3;1;4;2;1;1;1;2;2;4;4;4;6;1;1;3;2;2;3;3;3;6;1;3;2;3;2;2;2;5;2;2;1;3;1;2;4;5;2;4;2;8;1;2;2;7;3;4;1;9;3;-;2;1;2;3;3;4;2;1;3;4;-;2;5;3;2;1;6;-;1;1;2;5;6;6;4;3;6;3;5;2;-;3;1;2;3;-;2;2;5;1;4;3;1;-;2;1;1;2;-;2;1;1;2;2;-;1;4;1;2;3;5;2;2;4;1;5;2;6;-;9;5;2;2;3;1;9;-;2;4;-;3;2;5;3;3;3;-;3;1;-;1;1;3;3;-;4;1;1;411
".. Paraíba";2;3;-;4;1;1;2;1;-;-;5;4;4;4;-;-;1;1;1;3;1;1;1;-;1;4;3;3;1;2;5;4;5;5;4;4;9;1;4;2;3;3;4;2;1;5;5;5;1;4;2;4;2;6;1;5;4;6;2;3;2;6;1;2;1;4;3;5;3;1;4;1;3;3;3;7;7;5;-;2;4;1;5;3;4;3;6;5;5;2;4;2;-;2;2;7;1;3;4;3;-;2;3;2;2;2;4;3;3;1;1;3;6;2;-;1;5;3;1;2;1;1;2;1;3;1;5;4;5;4;4;1;2;2;7;6;5;7;7;2;7;5;2;3;3;3;2;2;9;3;3;3;2;5;-;4;1;1;7;3;478
".. Pernambuco";1;5;5;67;14;44;24;16;10;19;16;17;7;10;31;25;13;6;8;17;6;14;13;5;17;5;13;5;7;11;12;6;5;8;14;7;13;9;10;7;12;16;13;17;11;11;13;11;25;27;17;16;14;18;4;9;9;20;18;8;14;10;11;10;7;16;3;13;8;2;2;3;3;5;3;-;19;9;8;9;9;3;4;4;9;7;9;7;10;6;12;4;9;3;15;7;13;13;7;11;10;11;6;6;4;12;5;2;13;5;10;8;9;6;15;8;2;5;11;10;8;10;13;14;8;8;11;13;9;3;8;12;8;7;3;8;4;8;14;11;7;9;11;15;8;4;7;8;18;4;5;8;6;7;5;12;11;4;5;11;1651
".. Alagoas";1;-;1;-;2;1;2;2;6;-;2;1;-;2;2;5;1;2;2;3;1;3;4;4;5;6;6;4;3;-;1;2;1;1;6;1;3;-;4;3;1;1;4;2;-;2;1;3;1;1;2;1;2;2;5;5;3;2;3;2;1;2;5;1;-;2;3;2;3;4;1;2;3;4;5;4;-;2;-;1;1;1;2;5;1;2;3;4;2;4;4;2;3;2;3;3;2;2;-;3;4;1;3;1;2;-;1;3;1;-;2;1;3;4;3;5;3;-;-;3;1;2;3;2;2;-;3;1;3;1;5;2;2;2;3;4;3;5;5;1;4;2;2;7;3;2;3;-;2;3;2;5;1;6;4;1;1;5;3;1;377
".. Sergipe";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;3;2;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;1;-;-;3;-;-;2;1;2;2;1;1;1;-;-;2;1;1;2;2;-;-;-;1;2;1;-;2;-;1;3;1;1;2;3;2;1;1;-;-;2;2;-;-;3;3;-;-;3;1;1;-;4;-;2;-;-;-;2;-;2;-;-;-;-;-;-;-;93
".. Bahia";1;17;9;13;4;3;18;8;12;8;7;4;11;4;14;9;8;6;12;9;16;14;8;4;7;5;7;13;3;5;13;10;11;10;3;13;7;13;10;11;12;7;13;9;10;2;12;7;11;9;10;6;3;5;11;3;5;7;6;7;7;7;3;2;5;7;3;3;5;10;4;5;11;5;8;11;5;6;8;3;7;7;9;8;8;8;8;10;5;6;6;9;7;9;10;7;4;6;6;3;8;8;5;7;10;6;9;7;11;10;10;13;7;7;5;9;15;6;9;7;9;8;8;10;3;9;3;9;7;3;9;7;8;4;7;13;8;9;9;6;2;6;6;5;11;6;7;2;5;4;6;10;1;7;8;7;4;7;7;6;1211
"Região Sudeste";22;39;27;38;39;36;34;36;49;33;16;33;33;29;27;31;37;35;38;39;30;27;22;28;29;30;27;22;28;26;26;35;21;29;27;36;41;27;49;33;35;35;32;36;47;32;46;34;43;38;44;43;35;30;44;43;41;48;39;30;45;35;27;32;33;46;27;38;36;41;26;36;34;38;33;25;27;27;38;37;26;36;30;36;24;36;30;35;46;49;53;45;31;41;57;31;40;34;32;51;40;43;44;38;52;46;36;32;42;40;34;39;46;41;44;45;50;56;54;43;49;40;48;38;46;42;55;53;44;52;39;32;52;35;48;54;47;57;47;39;37;45;44;46;55;53;62;46;57;53;53;62;53;50;50;47;56;57;62;61;6314
".. Minas Gerais";3;10;8;7;7;9;7;5;18;5;1;2;10;9;7;6;7;4;11;6;6;6;3;7;10;5;5;5;5;1;10;3;5;6;2;2;12;5;7;4;9;6;-;7;7;6;8;5;5;4;8;7;2;-;9;5;4;3;4;5;9;9;3;3;9;4;4;4;6;7;1;4;6;7;6;4;4;1;7;5;6;5;6;3;3;5;5;7;4;11;11;6;6;6;9;4;7;6;3;5;8;9;7;7;5;11;6;3;6;6;6;4;11;6;4;5;8;10;10;9;5;5;7;6;10;3;7;9;8;6;6;4;4;5;4;4;3;10;10;6;5;10;7;8;7;4;10;5;8;10;11;6;9;8;4;6;5;7;14;16;999
".. Espírito Santo";-;1;-;-;-;1;4;-;-;-;2;1;1;1;4;1;2;3;2;2;1;-;1;-;1;-;2;1;1;1;-;1;1;1;2;3;-;-;1;1;2;1;-;1;2;4;1;5;1;3;-;3;1;1;-;3;5;2;2;1;3;3;-;4;3;2;1;2;3;-;-;2;-;-;3;2;-;3;-;2;-;1;2;2;-;1;2;1;2;1;4;1;1;-;2;2;-;-;1;3;1;1;1;3;4;-;1;2;2;2;1;-;2;1;-;-;-;3;1;2;2;1;1;1;3;-;1;2;1;1;-;-;2;1;1;3;-;2;-;3;3;1;1;1;-;-;2;-;1;2;2;1;1;1;1;2;2;1;3;3;220
".. Rio de Janeiro";1;10;5;15;14;17;15;16;24;13;6;17;7;13;8;18;16;19;15;20;14;9;8;10;12;22;9;11;17;14;12;19;13;13;11;18;19;12;30;19;16;14;16;14;17;12;21;11;20;17;17;17;15;14;18;16;20;18;15;12;19;13;14;10;13;20;8;13;11;13;14;14;13;12;12;9;11;8;10;17;11;11;10;12;8;18;12;17;17;15;15;19;11;12;22;13;16;13;11;23;13;13;13;12;17;10;10;8;14;12;12;13;14;12;12;16;10;20;10;13;23;10;16;13;11;14;22;18;10;18;14;11;17;14;17;20;16;16;12;14;12;18;12;14;28;17;25;13;21;21;19;19;18;20;22;25;21;23;20;18;2367
".. São Paulo";18;18;14;16;18;9;8;15;7;15;7;13;15;6;8;6;12;9;10;11;9;12;10;11;6;3;11;5;5;10;4;12;2;9;12;13;10;10;11;9;8;14;16;14;21;10;16;13;17;14;19;16;17;15;17;19;12;25;18;12;14;10;10;15;8;20;14;19;16;21;11;16;15;19;12;10;12;15;21;13;9;19;12;19;13;12;11;10;23;22;23;19;13;23;24;12;17;15;17;20;18;20;23;16;26;25;19;19;20;20;15;22;19;22;28;24;32;23;33;19;19;24;24;18;22;25;25;24;25;27;19;17;29;15;26;27;28;29;25;16;17;16;24;23;20;32;25;28;27;20;21;36;25;21;23;14;28;26;25;24;2728
"Região Sul";8;13;31;13;24;20;20;19;18;11;9;13;10;12;10;19;19;11;6;10;20;12;7;14;13;18;12;10;10;10;15;11;13;12;8;16;3;10;13;16;11;10;12;8;10;8;11;16;13;14;12;8;8;7;13;12;12;12;11;10;13;14;8;7;20;11;11;8;12;9;7;7;13;5;11;6;8;11;13;12;13;13;13;16;6;10;9;12;9;13;4;13;15;10;15;13;8;12;5;15;15;15;14;11;12;16;10;10;14;6;11;17;12;12;6;11;9;18;10;15;9;15;15;9;13;11;12;17;10;10;11;7;15;17;8;14;8;3;17;20;19;17;18;18;13;12;13;13;18;15;15;11;17;19;22;15;23;17;18;16;2001
".. Paraná";2;7;12;5;15;7;7;10;7;5;5;3;4;4;4;6;4;3;1;1;9;4;4;4;4;5;4;2;2;4;4;1;4;2;2;1;2;3;-;2;-;1;2;1;4;2;2;5;4;1;2;3;1;3;2;4;5;3;3;2;4;8;3;2;2;4;4;2;3;5;2;3;7;-;2;2;3;2;5;5;2;5;2;2;4;1;2;3;2;6;1;3;5;6;6;4;3;2;-;3;3;1;6;4;3;5;1;2;3;-;2;4;2;1;1;1;1;1;-;5;1;8;1;2;5;2;1;5;4;-;-;1;1;2;-;2;2;1;3;6;2;4;6;2;1;3;-;1;8;4;4;1;2;4;4;4;4;5;2;7;516
".. Santa Catarina";2;3;1;2;-;3;2;-;1;1;-;1;1;3;-;5;3;3;2;2;3;-;-;-;2;4;1;3;-;1;4;-;-;2;1;4;-;2;3;1;4;1;3;3;-;1;-;5;2;5;-;-;2;-;4;2;2;1;1;3;2;2;1;-;4;2;1;2;3;-;2;1;4;1;4;1;1;5;2;1;-;4;5;7;-;5;3;3;4;1;-;4;5;2;3;3;2;4;1;6;6;7;1;-;3;3;4;4;4;2;4;6;1;4;1;4;1;6;2;3;3;2;7;3;4;2;3;3;3;4;4;1;8;3;3;5;1;2;5;4;5;3;2;6;5;2;4;1;3;3;6;4;4;6;6;3;7;6;5;3;426
".. Rio Grande do Sul";4;3;18;6;9;10;11;9;10;5;4;9;5;5;6;8;12;5;3;7;8;8;3;10;7;9;7;5;8;5;7;10;9;8;5;11;1;5;10;13;7;8;7;4;6;5;9;6;7;8;10;5;5;4;7;6;5;8;7;5;7;4;4;5;14;5;6;4;6;4;3;3;2;4;5;3;4;4;6;6;11;4;6;7;2;4;4;6;3;6;3;6;5;2;6;6;3;6;4;6;6;7;7;7;6;8;5;4;7;4;5;7;9;7;4;6;7;11;8;7;5;5;7;4;4;7;8;9;3;6;7;5;6;12;5;7;5;-;9;10;12;10;10;10;7;7;9;11;7;8;5;6;11;9;12;8;12;6;11;6;1059
"Região Centro-Oeste";4;5;4;7;5;3;3;7;7;4;6;4;4;7;2;8;2;4;4;5;7;6;7;5;5;9;8;3;7;5;4;7;7;7;7;7;8;1;6;5;4;4;9;7;5;5;4;2;6;5;7;2;9;2;2;4;5;6;3;2;5;6;9;6;9;9;6;9;4;1;5;3;4;6;4;6;5;4;4;3;2;4;4;7;7;5;9;4;4;7;4;4;6;4;1;7;9;6;3;6;5;6;2;11;5;8;3;2;5;4;3;4;8;10;3;2;4;4;6;7;4;3;3;3;3;1;10;6;4;1;5;1;4;2;4;2;4;5;13;9;7;3;7;8;4;4;4;4;6;6;2;8;7;5;7;5;12;6;11;9;834
".. Mato Grosso do Sul";2;1;1;1;1;-;1;3;3;1;2;-;3;1;-;1;-;-;1;1;1;3;3;1;1;1;1;1;2;1;1;4;2;2;3;-;1;-;-;-;4;-;-;6;1;2;-;1;-;1;1;-;-;-;-;2;3;1;1;-;1;1;-;3;2;3;1;4;2;-;2;1;2;2;1;1;5;3;-;1;-;1;2;3;2;2;7;-;1;1;2;3;3;2;1;7;6;5;1;2;2;2;1;3;2;2;3;1;1;4;2;3;3;3;-;-;2;1;1;5;3;2;-;1;1;1;1;-;-;-;3;-;2;1;1;2;2;1;4;-;1;1;3;2;-;1;2;1;1;3;-;2;3;1;1;2;6;3;5;7;271
".. Mato Grosso";-;2;-;3;1;-;-;1;-;-;-;-;1;1;-;1;-;-;-;1;1;-;-;1;1;1;2;1;2;-;-;-;2;-;1;3;3;-;1;3;-;-;1;1;1;-;-;1;-;-;-;1;3;1;-;-;1;2;-;-;1;-;2;-;2;3;3;4;-;-;1;1;1;-;2;4;-;1;3;1;2;-;2;4;4;1;-;2;-;3;1;-;1;-;-;-;-;-;1;-;-;1;-;2;1;1;-;-;-;-;-;1;1;2;2;1;-;2;1;-;-;-;1;-;2;-;1;1;1;1;1;-;-;1;-;-;-;1;4;3;1;-;1;2;2;1;-;1;2;1;2;1;1;2;2;1;2;2;1;-;152
".. Goiás";1;2;3;3;2;1;2;2;4;1;4;3;-;3;2;6;2;4;3;3;4;2;4;3;3;7;5;1;2;4;3;3;3;4;3;3;4;1;5;2;-;3;7;-;2;3;3;-;6;2;4;1;5;1;-;1;1;1;2;2;2;3;4;3;5;3;2;1;1;1;1;1;1;3;-;-;-;-;-;1;-;2;-;-;-;2;1;2;2;2;-;1;1;2;-;-;3;1;1;3;2;3;1;5;1;5;-;1;2;-;1;-;4;4;1;-;2;1;3;1;1;1;1;2;-;-;8;5;3;-;-;1;2;-;3;-;1;1;4;5;5;2;3;4;2;1;-;2;3;1;-;5;2;2;3;2;3;1;3;2;337
".. Distrito Federal";1;-;-;-;1;2;-;1;-;2;-;1;-;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;2;2;-;1;-;2;1;-;2;-;-;1;2;3;-;-;-;-;-;1;-;1;-;-;1;1;1;-;-;1;-;-;1;-;-;1;-;1;-;1;1;1;-;1;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;2;-;-;-;-;1;-;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;1;1;-;-;-;-;-;1;2;-;-;1;-;-;1;-;1;-;1;-;2;-;74
"Total";49;97;94;156;106;128;116;108;119;87;75;97;90;84;106;105;93;81;86;97;104;94;73;70;96;93;89;79;77;81;95;93;83;90;87;100;96;77;118;96;98;100;97;95;103;80;113;94;112;118;115;111;89;89;91;99;98;116;92;80;106;96;79;76;89;112;73;93;91;77;64;74;86;81;88;75;81;75;89;81;76;81;75;98;77;91;95;87;101;102;106;91;81;86;113;93;94;86;70;106;107;106;98;96;102;100;85;72;102;84;85;101;98;91;91;94;106;103;112;101;95;96;112;92;96;90;116;126;100;93;95;81;106;91;104;124;97;129;129;107;103;102;113;119;118;101;124;85;129;102;101;120;101;113;109;111;124;111;122;127;15498
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
